player_id,names,born,bat_type,bowl_type,height,matches,country
308408,Joshua James Cobb,"August 17, 1990, Leicester",Right-hand bat,Right-arm offbreak,0,122,England
958655,Sachintha Navin Peiris,"November 16, 1995, Kurunegala",Right-hand bat,Right-arm offbreak,0,7,Sri Lanka
420339,Jakob Rubin Hansen,"December 30, 1986, Denmark",Right-hand bat,Right-arm medium,0,1,Denmark
5236,Callum James Ferguson,"November 21, 1984, North Adelaide, South Australia",Right-hand bat,Right-arm medium,1.80 m,83,Australia
393273,Eden Ruben Links,"March 25, 1989, Hermanus, Western Cape",Right-hand bat,Right-arm offbreak,0,47,South Africa
428164,Prashan Chamikara Wickramasinghe,"July 20, 1992, Colombo",Right-hand bat,0,0,16,Sri Lanka
1048863,Shoaib Md Khan,"September 1, 1991",Right-hand bat,Right-arm offbreak,0,4,India
281764,Richard Cameron,"June 17, 1986, Johannesburg, Transvaal",Right-hand bat,Right-arm bowler,0,18,South Africa
41421,Mohammad Aslam Qureshi,"November 4, 1979, Peshawar, North-West Frontier Province",Right-hand bat,Slow left-arm orthodox,0,32,Pakistan
464702,Diego Steve Rosier,"May 2, 1994, Kimberley",Right-hand bat,Legbreak,0,48,South Africa
1057405,Ram Sarikh Yadav,date unknown,Right-hand bat,Right-arm medium,0,0,India
10610,William David Bragg,"October 24, 1986, Newport",Left-hand bat,0,0,2,England
46774,Shaun Maclean Pollock,"July 16, 1973, Port Elizabeth, Cape Province",Right-hand bat,Right-arm fast-medium,0,46,South Africa
327947,Dane Paterson,"April 4, 1989, Cape Town, Cape Province",Right-hand bat,Right-arm fast,0,61,South Africa
527362,Chirag Sureshbhai Jani,"November 9, 1989, Bhavnagar",Right-hand bat,Right-arm medium,0,22,India
321793,Athi Mpendulo Maposa,"April 22, 1990, Umzimkulu",Right-hand bat,Right-arm fast-medium,0,20,South Africa
925379,Wikramarathna Jathunge Thimindu Sachintha,"February 12, 1996, Hambantota",Right-hand bat,Right-arm fast-medium,0,0,Sri Lanka
542002,Andrew Rasemene,"March 25, 1995",Right-hand bat,Right-arm medium,0,8,South Africa
440894,Carmi le Roux,"March 30, 1993, Johannesburg, Transvaal",Right-hand bat,Left-arm medium-fast,0,6,South Africa
28235,Shikhar Dhawan,"December 5, 1985, Delhi",Left-hand bat,Right-arm offbreak,0,211,India
440977,Parth Ajaykumar Desai,"December 11, 1990, Navsari, Gujarat",Right-hand bat,Slow left-arm orthodox,0,11,Canada
1138290,WAPD Fernando,date unknown,0,0,0,2,Sri Lanka
326637,Christopher Austin Lynn,"April 10, 1990, Brisbane, Queensland",Right-hand bat,Slow left-arm orthodox,0,116,Australia
623631,Tilaksha Malshan Sumanasiri Anthony Baduge,"January 20, 1995, Colombo",Right-hand bat,Right-arm offbreak,0,12,Sri Lanka
539548,Scott Christopher Kuggeleijn,"January 3, 1992, Hamilton",Right-hand bat,Right-arm fast-medium,0,59,New Zealand
1057401,Kushal Wadhwani,"November 1, 1996",Right-hand bat,Legbreak googly,0,0,India
1137952,Lenaduwa Lokuge Pasindu Manelka Dharmadasa,date unknown,0,0,0,3,Sri Lanka
926213,Mohamed Ijas Haneefdeen,date unknown,0,0,0,0,
24728,Stephen Ogonji Tikolo,"June 25, 1971, Nairobi",Right-hand bat,Right-arm offbreak,0,34,Kenya
463215,Rory Desmond McCann,"January 11, 1985, Belfast",Right-hand bat,0,0,3,Ireland
464110,Joshua Edward Poysden,"August 8, 1991, Shoreham-by-Sea, Sussex",Left-hand bat,Legbreak,0,21,England
331375,Hamish Duncan Rutherford,"April 27, 1989, Dunedin, Otago",Left-hand bat,Slow left-arm orthodox,0,111,New Zealand
403902,Liam Stephen Livingstone,"August 4, 1993, Barrow-in-Furness, Cumberland",Right-hand bat,Legbreak,0,42,England
509416,Naeem Islam jnr,"October 19, 1994",Right-hand bat,Slow left-arm orthodox,0,17,Bangladesh
52450,Antonio Nigel Mayers,"October 23, 1979, Horse Hill, St Joseph, Barbados",Right-hand bat,Right-arm medium,0,3,West Indies
776735,Fazal Zazai,"date unknown, Paktia",Right-hand bat,Right-arm offbreak,0,2,Afghanistan
52626,Xavier Melbourne Marshall,"March 27, 1986, Jamaica",Right-hand bat,Right-arm offbreak,0,21,West Indies
778241,KL Shrijith,date unknown,0,0,0,0,India
1059569,Abhuday Kant Singh,"September 30, 1989, Bilaspur, Chhattisgarh",Right-hand bat,Right-arm medium,0,4,India
50438,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,"January 30, 1985, Matara",Right-hand bat,Right-arm offbreak,6 ft 0 in,62,Sri Lanka
303962,Daniel Kniveton,"July 1, 1989",0,0,0,0,Isle of Man
288285,Clive Andrew Rose,"October 13, 1989, Dandenong, Victoria",Right-hand bat,Slow left-arm orthodox,0,30,Australia
683327,Christo Johannes Botma,"April 6, 1991, South Africa",Right-hand bat,Right-arm medium,0,2,Denmark
781371,Syed Hasnain Bokhari,"June 24, 1991, Renala Khurd, Punjab",Right-hand bat,0,0,3,Pakistan
790635,Kaveeshka Anjula,"September 23, 1997",Left-hand bat,Right-arm medium-fast,0,6,Sri Lanka
6844,Bryce Edward McGain,"March 25, 1972, Mornington, Victoria",Right-hand bat,Legbreak googly,1.82 m,13,Australia
559060,Sean Benjamin Davey,"April 8, 1993, Tauranga, Bay of Plenty",Right-hand bat,Right-arm medium,0,1,New Zealand
775421,Jeremiah Stevenson Louis,"March 12, 1996, St Kitts",Right-hand bat,Right-arm medium-fast,0,1,West Indies
41411,Mohammad Asif,"December 20, 1982, Sheikhupura, Punjab",Left-hand bat,Right-arm fast-medium,0,35,Pakistan
925541,Dilshan  Kollure,"December 18, 1997, Matale",Left-hand bat,Legbreak,0,0,Sri Lanka
47477,Blake Douglas Snijman,"October 28, 1985, Johannesburg",Right-hand bat,Right-arm medium,0,24,South Africa
1082336,Vivan,date unknown,0,0,0,0,India
1046627,Matthew Hoffman,"March 15, 1986",0,0,0,0,Israel
51785,Derryck Trevor Edwards,"May 24, 1968",Right-hand bat,Right-arm medium-fast,0,2,West Indies
781137,Ilhwan Seo,"April 13, 1989",Right-hand bat,0,0,0,
52630,Mahendra Veeren Nagamootoo,"October 9, 1975, Whim, Berbice, Guyana",Left-hand bat,Legbreak googly,0,7,West Indies
1083068,Fuzel,date unknown,0,0,0,0,India
1102233,Andrew Sheridan,date unknown,0,0,0,2,Ireland
307641,Mohammad Suharril Fetri Shuib,"May 7, 1989, S.G Petani, Kedah, Malaysia",Right-hand bat,Right-arm offbreak,0,0,Malaysia
235514,Brian Vitalis Vitori,"February 22, 1990, Masvingo",Left-hand bat,Left-arm fast-medium,0,28,Zimbabwe
228210,Mehedi Hasan Siddiqui,"April 4, 1988, Tangail",Right-hand bat,Right-arm offbreak,0,35,Bangladesh
601407,Amit Kumar Nayan,"June 15, 1988, Jessor",Left-hand bat,Slow left-arm orthodox,0,5,Bangladesh
307448,Vikrant Shyam Yeligati,"April 23, 1985, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,0,4,India
598284,Rohit Damodaran,"May 28, 1992, Chennai",Right-hand bat,Right-arm offbreak,0,13,Sri Lanka
467612,Albaradura Hasitha Lakmal de Silva,"March 25, 1991, Kalutara",Left-hand bat,Right-arm medium-fast,5 ft 7 in,5,Sri Lanka
5550,Matthew Geoffrey Gale,"November 28, 1983, Box Hill, Victoria",Right-hand bat,Right-arm fast-medium,1.86 m,6,Australia
1119019,Vinit Yadav,date unknown,0,0,0,0,India
447439,Ishwar Chand Pandey,"August 15, 1989",Right-hand bat,Right-arm medium,0,55,India
232492,Akhtar Ayub Awan,"December 10, 1987, Langer, Attock, Punjab",Right-hand bat,Right-arm medium-fast,0,13,Pakistan
42160,Syed Najaf Hussain Shah,"December 17, 1984, Gojarkhan, Rawalpindi",Left-hand bat,Left-arm medium-fast,0,18,Pakistan
917711,Mohammad Shahid Khan,"November 17, 1997, Sargodha, Punjab, Pakistan",Left-hand bat,0,0,3,Pakistan
1048885,M Shajahan,date unknown,Left-hand bat,Slow left-arm orthodox,0,0,India
317252,Sohail Khan,"March 6, 1984, Malakand, North-West Frontier Province",Right-hand bat,Right-arm fast-medium,0,74,Pakistan
272364,Phillip Joel Hughes,"November 30, 1988, Macksville, New South Wales",Left-hand bat,0,0,34,Australia
290630,Manish Krishnanand Pandey,"September 10, 1989, Nainital, Uttaranchal",Right-hand bat,Right-arm medium,0,192,India
321757,Rudi Stewart Second,"July 17, 1989, Queenstown, Cape Province",Right-hand bat,Right-arm offbreak,0,36,South Africa
925647,Kalindu Adithya Dias Samaraweera Siriwardana,"January 3, 2000, Kurunegala",Right-hand bat,Right-arm fast-medium,0,0,Sri Lanka
720475,Kaushal Raja Singh,"October 10, 1996, Ranchi, Bihar",Right-hand bat,Right-arm medium,0,32,India
361170,Mohamed Shehan Kamileen,"September 30, 1990, Colombo",Right-hand bat,Right-arm offbreak,5 ft 10 in,4,Canada
392944,Natsai M'shangwe,"February 9, 1991, Mhangura",Right-hand bat,Legbreak,0,36,Zimbabwe
527291,Sumit Sureshrao Ruikar,"June 6, 1990, Nagpur",Left-hand bat,Slow left-arm orthodox,0,13,India
793907,Rokhan Barakzai,"January 1, 1989",Left-hand bat,Slow left-arm orthodox,0,8,Afghanistan
1081218,Suraj Ahuja,date unknown,0,0,0,0,India
